iter	Recall	Logloss
553	0.8230940044	0.4654349134
554	0.8230940044	0.4654047749
555	0.8230940044	0.4653636843
556	0.8230940044	0.4653358169
557	0.8230940044	0.4652389487
558	0.8230940044	0.4651800057
559	0.8230940044	0.4651455281
560	0.8230940044	0.4651039247
561	0.8230940044	0.4650383985
562	0.8230940044	0.4649988669
563	0.8230940044	0.4649697038
564	0.8230940044	0.464937532
565	0.8230940044	0.4648915553
566	0.8230940044	0.4648758293
567	0.8230940044	0.4648405153
568	0.8230940044	0.4648132013
569	0.8230940044	0.4647944493
570	0.8230940044	0.4647456294
571	0.8230940044	0.4647040002
572	0.8238341969	0.4646635156
573	0.8230940044	0.4645985907
574	0.8230940044	0.4645471348
575	0.8230940044	0.4644985563
576	0.8230940044	0.4644692564
577	0.8230940044	0.4644495773
578	0.8230940044	0.4643950588
579	0.8230940044	0.4643609221
580	0.8230940044	0.4643177506
581	0.8230940044	0.4642994284
582	0.8230940044	0.4642741916
583	0.8230940044	0.4642479768
584	0.8230940044	0.4642014213
585	0.8230940044	0.4641576605
586	0.8230940044	0.4641236698
587	0.8238341969	0.4640967795
588	0.8238341969	0.4640671524
589	0.8230940044	0.4640463868
590	0.8230940044	0.4640298196
591	0.8230940044	0.4640110279
592	0.8230940044	0.4639871952
593	0.8230940044	0.4639434171
594	0.8230940044	0.4639150386
595	0.8230940044	0.4638867949
596	0.8230940044	0.4638709422
597	0.8230940044	0.4638152449
598	0.822353812	0.463783941
599	0.822353812	0.4637662246
600	0.822353812	0.4637379413
601	0.822353812	0.4636996848
602	0.8230940044	0.4636647425
603	0.822353812	0.4636343539
604	0.822353812	0.4636226916
605	0.822353812	0.4635900237
606	0.822353812	0.4635433677
607	0.822353812	0.463491703
608	0.822353812	0.4634504935
609	0.822353812	0.4634094834
610	0.822353812	0.4633760207
611	0.822353812	0.4633508948
612	0.822353812	0.463314868
613	0.822353812	0.4632863083
614	0.822353812	0.4632657398
615	0.822353812	0.4632298834
616	0.822353812	0.4631746142
617	0.822353812	0.4631533035
618	0.822353812	0.4631232276
619	0.822353812	0.4630739436
